2019-07-28 00:00:34  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:00:34  | My Order List is  [] 
2019-07-28 00:00:34  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-28 00:00:34  | Spawn Trader  dongwkim-trader1 
2019-07-28 00:00:34  | Current Trader is dongwkim-trader1
2019-07-28 00:00:34  | Get Last Order from Redis
2019-07-28 00:01:34  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-28 00:01:34  | My Order List is  [] 
2019-07-28 00:01:34  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-28 00:01:34  | Spawn Trader  dongwkim-trader1 
2019-07-28 00:01:34  | Current Trader is dongwkim-trader1
2019-07-28 00:01:34  | Get Last Order from Redis
2019-07-27 23:58:49  | TEST  | Price: p:314.9/b:310.2/a:315.0/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    4(1.2%)/   1(0.4%)/   0(0.0%) Avg:  313/ 314 | deal (0) | bal:220,792  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.4/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.4/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:311.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.3/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:14:01  | TEST  | Price: p:310.3/b:310.2/a:314.4/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,567  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.4/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.1%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.3/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.1%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.1%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.1%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.1%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/  -0(-0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.4/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.3/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.6/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.5/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.8/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.2/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
2019-07-28 00:23:07  | TEST  | Price: p:310.1/b:310.1/a:314.7/l:324 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  312/ 310 | deal (0) | bal:217,426  
